component,WAIS_to_GIS,WAIS_to_GIS,AMOC_to_GIS,AMOC_to_GIS,GIS_to_AMOC,GIS_to_AMOC,NINO_to_AMOC,NINO_to_AMOC,WAIS_to_AMOC,WAIS_to_AMOC,NINO_to_WAIS,NINO_to_WAIS,AMOC_to_WAIS,AMOC_to_WAIS,GIS_to_WAIS,GIS_to_WAIS,NINO_to_Amazonas,NINO_to_Amazonas,AMOC_to_Amazonas,AMOC_to_Amazonas,AMOC_to_NINO,AMOC_to_NINO,AWSI_to_AMOC,AWSI_to_AMOC,AWSI_to_GIS,AWSI_to_GIS,AWSI_to_PERM,AWSI_to_PERM,AMOC_to_AWSI,AMOC_to_AWSI,AMOC_to_WAM,AMOC_to_WAM,NINO_to_REEF,NINO_to_REEF,PERM_to_AMOC,PERM_to_AMOC
axis,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac
0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.07653061224489796,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0
71,,,,,8.922252010723861,0.7171717171717172,,,0.7295918367346939,-0.14141414141414133,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,9.109919571045577,0.7272727272727273,,,0.7423469387755102,-0.13131313131313127,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,9.254691689008043,0.7373737373737375,,,0.7576530612244898,-0.1212121212121211,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,9.42627345844504,0.7474747474747475,,,0.7729591836734694,-0.11111111111111105,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,9.557640750670242,0.7575757575757577,,,0.7959183673469388,-0.10101010101010088,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,9.705093833780161,0.7676767676767677,,,0.8086734693877551,-0.09090909090909083,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,9.841823056300267,0.7777777777777778,,,0.8367346938775511,-0.08080808080808077,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,9.975871313672922,0.787878787878788,,,0.8520408163265306,-0.07070707070707061,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,10.072386058981234,0.797979797979798,,,0.8826530612244898,-0.06060606060606055,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,0.9005102040816326,-0.050505050505050386,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,0.923469387755102,-0.04040404040404033,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,0.9413265306122449,-0.030303030303030276,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,0.9591836734693877,-0.02020202020202011,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,0.9846938775510204,-0.010101010101010055,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
