#T_peak T_lim t_conv R mu_0 mu_1
5.5 0.0 600 0.0637 0.0015 0.00002065
5.5 0.0 700 0.05603 0.0015 0.0000149
5.5 0.0 800 0.0504 0.0015 0.00001123
5.5 0.0 900 0.04595 0.0015 0.00000871
5.5 0.0 1000 0.04245 0.0015 0.00000693
5.5 0.5 100 0.3247 0.0015 0.00082
5.5 0.5 200 0.1655 0.0015 0.000198
5.5 0.5 300 0.1132 0.0015 0.0000863
5.5 0.5 400 0.0872 0.0015 0.00004765
5.5 0.5 500 0.0717 0.0015 0.0000300
5.5 0.5 600 0.06145 0.0015 0.00002047
5.5 0.5 700 0.05415 0.0015 0.0000148
5.5 0.5 800 0.0486 0.0015 0.00001113
5.5 0.5 900 0.04442 0.0015 0.00000863
5.5 0.5 1000 0.04103 0.0015 0.00000687
5.5 1.0 100 0.310 0.0015 0.00081
5.5 1.0 200 0.1582 0.0015 0.000196
5.5 1.0 300 0.1087 0.0015 0.0000859
5.5 1.0 400 0.0837 0.0015 0.00004725
5.5 1.0 500 0.06895 0.0015 0.0000298
5.5 1.0 600 0.05900 0.0015 0.00002029
5.5 1.0 700 0.0521 0.0015 0.00001467
5.5 1.0 800 0.0468 0.0015 0.00001103
5.5 1.0 900 0.04278 0.0015 0.00000855
5.5 1.0 1000 0.03955 0.0015 0.0000068
5.5 1.5 100 0.2945 0.0015 0.00080
5.5 1.5 200 0.151 0.0015 0.0001943
5.5 1.5 300 0.1037 0.0015 0.000085
5.5 1.5 400 0.0800 0.0015 0.00004678
5.5 1.5 500 0.0659 0.0015 0.0000295
5.5 1.5 600 0.05650 0.0015 0.00002011
5.5 1.5 700 0.04988 0.0015 0.0000145
5.5 1.5 800 0.0449 0.0015 0.00001091
5.5 1.5 900 0.04105 0.0015 0.00000846
5.5 1.5 1000 0.03800 0.0015 0.00000673
5.5 2.0 100 0.2787 0.0015 0.00079
5.5 2.0 200 0.1431 0.0015 0.0001925
5.5 2.0 300 0.0985 0.0015 0.0000842
5.5 2.0 400 0.076 0.0015 0.0000463
5.5 2.0 500 0.06270 0.0015 0.0000291
5.5 2.0 600 0.05390 0.0015 0.0000199
5.5 2.0 700 0.0476 0.0015 0.00001435
5.5 2.0 800 0.04287 0.0015 0.00001077
5.5 2.0 900 0.03922 0.0015 0.00000837
5.5 2.0 1000 0.036332 0.0015 0.00000665
6.0 0.0 100 0.3765 0.0015 0.00084
6.0 0.0 200 0.1915 0.0015 0.000203
6.0 0.0 300 0.1305 0.0015 0.000088
6.0 0.0 400 0.1007 0.0015 0.0000488
6.0 0.0 500 0.0828 0.0015 0.0000307
6.0 0.0 600 0.0708 0.0015 0.00002095
6.0 0.0 700 0.0623 0.0015 0.00001512
6.0 0.0 800 0.05585 0.0015 0.00001138
6.0 0.0 900 0.0510 0.0015 0.00000884
6.0 0.0 1000 0.04710 0.0015 0.00000703
6.0 0.5 100 0.362 0.0015 0.000835
6.0 0.5 200 0.1845 0.0015 0.000201
6.0 0.5 300 0.1260 0.0015 0.0000875
6.0 0.5 400 0.0972 0.0015 0.0000484
6.0 0.5 500 0.0799 0.0015 0.0000304
6.0 0.5 600 0.0684 0.0015 0.00002075
6.0 0.5 700 0.0603 0.0015 0.000014992
6.0 0.5 800 0.0542 0.0015 0.00001128
